,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,BE_F,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
120,120,40,0,0.555,1,0,1,0,0,0,0,1,1,1,22.302026226666477,0,31458.2721,0,0,0,5.835749343446397e-10,50912.9223,0,6267.0439,0.0,2.259868587800001,2.259868587800001
121,121,40,0,0.555,1,0,1,0,0,0,0,1,1,0,22.76227955117717,0,19062.7991,0,0,0,3.824552550697615e-09,32121.7255,0,4622.5541,0.0,1.4158996113125,1.4158996113125
122,122,40,0,0.555,1,0,1,0,0,0,0,1,0,1,22.048436513044756,0,16958.1599,0,0,0,0.0,26790.6051,0,3068.1444,0.0,1.1875223532874994,1.1875223532874994
123,123,40,0,0.555,1,0,1,0,0,0,0,1,0,0,23.298393957058945,0,4562.6869,0,0,0,1.3315508845294864e-09,7999.4083,0,1423.6546,0.0,0.3435533768,0.3435533768
124,124,40,0,0.555,1,0,1,0,0,0,0,0,1,1,22.123839568056784,0,26895.5853,0,0,0,7.718988658327948e-10,42913.514,0,4843.3893,0.0,1.9163152110000004,1.9163152110000004
125,125,40,0,0.555,1,0,1,0,0,0,0,0,1,0,22.588931181260687,0,14500.1123,0,0,0,0.0,24122.3172,0,3198.8994,0.0,1.0723462345124997,1.0723462345124997
126,126,40,0,0.555,1,0,1,0,0,0,0,0,0,1,21.54825469280402,0,12395.473,0,0,0,0.0,18791.1968,0,1644.4898,0.0,0.8439689764875001,0.8439689764875001
127,127,40,0,0.555,1,0,1,0,0,0,0,0,0,0,40.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
128,128,40,0,0.555,1,0,0,1,1,1,1,1,1,1,31.516724010419935,0,42504.47,0,0,0,0.0,124088.2712,0,133015.7486,0.0,5.1335721423875,5.1335721423875
129,129,40,0,0.555,1,0,0,1,1,1,1,1,1,0,30.906049911480984,0,36925.3482,0,0,0,0.0,100766.5152,0,108778.4252,0.0,4.3170720514625,4.3170720514625
130,130,40,0,0.555,1,0,0,1,1,1,1,1,0,1,31.04287373564527,0,41828.3489,0,0,0,6.973907231332382e-10,116079.0014,0,124555.9894,0.0,4.9018021073875,4.9018021073875
131,131,40,0,0.555,1,0,0,1,1,1,1,1,0,0,30.29600026518213,0,36249.2271,0,0,0,9.766360034495392e-10,92757.2454,0,100318.6661,0.0,4.0853020164625,4.0853020164625
132,132,40,0,0.555,1,0,0,1,1,1,1,0,1,1,31.90295556495327,0,34199.779,0,0,0,4.0889981089707105e-10,104463.7887,0,111920.8882,0.0,4.20778186355,4.20778186355
